State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Tamil Nadu,ARIYALUR,2008,Kharif     ,Rice,24574,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Arhar/Tur,209,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Bajra,565,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Banana,190,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Cashewnut,31113,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Castor seed,27,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Coconut ,335,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Coriander,460,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Cotton(lint),3566,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Dry chillies,1774,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Groundnut,14528,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Jowar,6674,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Maize,9797,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Moong(Green Gram),39,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Onion,21,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Ragi,13,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Sugarcane,8608,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Sunflower,221,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Sweet potato,2,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Tapioca,258,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Turmeric,10,
Tamil Nadu,ARIYALUR,2008,Whole Year ,Urad,1192,
Tamil Nadu,ARIYALUR,2009,Kharif     ,Rice,25978,80462
Tamil Nadu,ARIYALUR,2009,Kharif     ,Small millets,404,649
Tamil Nadu,ARIYALUR,2009,Whole Year ,Arhar/Tur,160,122
Tamil Nadu,ARIYALUR,2009,Whole Year ,Bajra,644,1082
Tamil Nadu,ARIYALUR,2009,Whole Year ,Banana,134,5761
Tamil Nadu,ARIYALUR,2009,Whole Year ,Cashewnut,31188,9975
Tamil Nadu,ARIYALUR,2009,Whole Year ,Castor seed,21,6
Tamil Nadu,ARIYALUR,2009,Whole Year ,Coconut ,336,5200
Tamil Nadu,ARIYALUR,2009,Whole Year ,Coriander,338,134
Tamil Nadu,ARIYALUR,2009,Whole Year ,Cotton(lint),4074,11033
Tamil Nadu,ARIYALUR,2009,Whole Year ,Dry chillies,1676,608
Tamil Nadu,ARIYALUR,2009,Whole Year ,Groundnut,13878,27002
Tamil Nadu,ARIYALUR,2009,Whole Year ,Jowar,4959,7043
Tamil Nadu,ARIYALUR,2009,Whole Year ,Maize,9979,23891
Tamil Nadu,ARIYALUR,2009,Whole Year ,Moong(Green Gram),13,11
Tamil Nadu,ARIYALUR,2009,Whole Year ,Onion,47,458
Tamil Nadu,ARIYALUR,2009,Whole Year ,Ragi,47,130
Tamil Nadu,ARIYALUR,2009,Whole Year ,Sesamum,1652,452
Tamil Nadu,ARIYALUR,2009,Whole Year ,Sugarcane,6970,809944
Tamil Nadu,ARIYALUR,2009,Whole Year ,Sunflower,111,148
Tamil Nadu,ARIYALUR,2009,Whole Year ,Sweet potato,2,29
Tamil Nadu,ARIYALUR,2009,Whole Year ,Tapioca,257,8858
Tamil Nadu,ARIYALUR,2009,Whole Year ,Turmeric,21,106
Tamil Nadu,ARIYALUR,2009,Whole Year ,Urad,1046,400
Tamil Nadu,ARIYALUR,2010,Kharif     ,Arhar/Tur,209,138
Tamil Nadu,ARIYALUR,2010,Kharif     ,Castor seed,27,7
Tamil Nadu,ARIYALUR,2010,Kharif     ,Cotton(lint),5684,9361
Tamil Nadu,ARIYALUR,2010,Kharif     ,Groundnut,12058,37266
Tamil Nadu,ARIYALUR,2010,Kharif     ,Maize,9996,8630
Tamil Nadu,ARIYALUR,2010,Kharif     ,Moong(Green Gram),4,2
Tamil Nadu,ARIYALUR,2010,Kharif     ,Ragi,42,109
Tamil Nadu,ARIYALUR,2010,Kharif     ,Rice,25211,97869
Tamil Nadu,ARIYALUR,2010,Kharif     ,Sunflower,202,245
Tamil Nadu,ARIYALUR,2010,Kharif     ,Urad,1526,741
Tamil Nadu,ARIYALUR,2010,Whole Year ,Sugarcane,7500,739006
Tamil Nadu,ARIYALUR,2011,Kharif     ,Bajra,590,1499
Tamil Nadu,ARIYALUR,2011,Kharif     ,Cotton(lint),7661,36179
Tamil Nadu,ARIYALUR,2011,Kharif     ,Groundnut,9999,35766
Tamil Nadu,ARIYALUR,2011,Kharif     ,Jowar,1659,2114
Tamil Nadu,ARIYALUR,2011,Kharif     ,Maize,11778,60881
Tamil Nadu,ARIYALUR,2011,Kharif     ,Ragi,14,37
Tamil Nadu,ARIYALUR,2011,Kharif     ,Rice,24097,97257
Tamil Nadu,ARIYALUR,2011,Rabi       ,Bajra,6,18
Tamil Nadu,ARIYALUR,2011,Rabi       ,Cotton(lint),150,413
Tamil Nadu,ARIYALUR,2011,Rabi       ,Groundnut,3028,18093
Tamil Nadu,ARIYALUR,2011,Rabi       ,Jowar,15,22
Tamil Nadu,ARIYALUR,2011,Rabi       ,Maize,357,2374
Tamil Nadu,ARIYALUR,2011,Rabi       ,Ragi,3,9
Tamil Nadu,ARIYALUR,2011,Whole Year ,Arhar/Tur,192,167
